false_positive_rate,true_positive_rate,threshold
0.0,0.008810189499844672,0.9977937294272298
0.0,0.008835041938490214,0.9977920952256112
0.0,0.008909599254426841,0.9977778165076918
0.0,0.008946877912395153,0.9977760715067019
0.0,0.008959304131717924,0.9977733030553176
0.0,0.008984156570363467,0.9977663094410814
0.0,0.009406648027337683,0.997654670275909
0.0,0.009456352904628767,0.9976469844244477
0.0,0.009704877291084187,0.9975733720802169
0.0,0.009767008387698043,0.9975653408324134
0.0,0.009779434607020814,0.9975616801606806
0.0,0.009804287045666356,0.9975613934014254
0.0,0.010388319353836595,0.9973632709509226
0.0,0.010512581547064305,0.9973630175329359
0.0,0.011357564461012737,0.9969928342649063
0.0,0.01138241689965828,0.9969806066163805
0.0,0.011419695557626591,0.996962302354828
0.0,0.011456974215594905,0.9969612486281696
