IATA,Latitude,Longitude
,26.57979965,-81.48370361
,27.36310005,-80.77279663
,27.08449936,-81.3286972
,40.110901,-81.526199
,31.42580032,-81.2858963
,32.169936,-81.453836
,43.56930161,-116.7770004
,41.645085,-85.426386
,41.223056,-85.830556
,37.97779846,-89.20290375
,39.03469849,-97.58000183
,37.628414,-87.946994
,36.97259903,-84.62609863
,29.95299911,-90.18260193
,41.074423,-88.488693
,30.40829,-92.033444
,42.29399872,-71.49620056
,39.388411,-76.610815
,44.81539,-70.34851
,42.734474,-84.536046
,47.66939926,-93.05439758
,37.395599,-94.283798
,34.661506,-89.869628
,47.065679,-108.809624
,40.291801,-76.328796
,36.06760025,-80.46559906
,47.32310104,-102.0979996
,42.430484,-97.078731
,44.06129837,-71.13580322
,40.76259995,-74.30400085
,35.217541,-82.426
,41.36809921,-74.50559998
,41.29169846,-80.56369781
,34.93149948,-95.25830078
,35.408087,-98.605477
,42.838,-121.11509
,41.055358,-75.512039
,40.04589844,-76.28079987
,41.489498,-71.620598
,43.325923,-98.345152
,29.97842,-98.258418
,35.298914,-86.474357
,30.308803,-99.022228
,32.85789,-97.744303
,41.515701,-115.860001
,38.335017,-109.135176
,37.55400085,-79.74980164
,30.479253,-96.504031
,29.10810089,-95.77749634
,62.969888,-150.75375
,61.589361,-149.847333
,32.842385,-87.890523
,33.27320099,-93.23989868
,31.924848,-110.040007
,36.205514,-121.132541
,39.11380005,-121.0569992
,36.182556,-119.313572
,38.055275,-103.650769
,27.24559975,-81.4131012
,28.67110062,-82.08730316
,25.960056,-80.241806
,31.120995,-83.67063
,48.60580063,-93.3707962
,41.745441,-92.411547
,45.10390091,-114.8550034
,38.44729996,-86.44499969
,41.123265,-85.42496
,42.26499939,-89.07430267
,38.70700073,-95.13829803
,38.23899841,-85.63939667
,29.126972,-90.206659
,42.4681015,-88.74320221
,30.82439995,-91.38459778
,42.3042984,-71.50589752
,39.576412,-79.372047
,43.34080124,-70.85469818
,42.70809937,-84.56079865
,37.3783989,-93.36329651
,45.909346,-113.763183
,41.83259964,-73.87599945
,35.32929993,-79.02999878
,41.33330154,-96.19360352
,40.65370178,-74.68650055
,35.650122,-79.650311
,35.979689,-115.150183
,41.92890167,-74.04889679
,36.35449982,-95.86389923
,45.587235,-121.163827
,40.82699966,-77.98809814
,40.56200027,-75.1427002
,48.84090042,-117.2839966
,33.280768,-97.496703
,32.262923,-97.863764
,35.94169998,-83.94400024
,29.48240089,-103.1650009
,30.737626,-102.02332
,36.97650146,-80.49389648
,38.09080124,-78.98500061
,38.868612,-77.008367
,47.71039963,-117.4069977
,44.00360107,-91.30760193
,29.43300056,-98.49220276
,44.8166008,-93.01550293
,59.403055,-136.013611
,60.491537,-151.235253
,64.39214,-146.861823
,61.616966,-149.320893
,61.725556,-150.678611
,62.03590012,-150.4940033
,61.355352,-142.731832
,61.80108,-147.945156
,59.776005,-150.963285
,61.33259964,-150.0590057
,34.68840027,-86.58889771
,30.44389915,-87.6568985
,33.27500153,-85.83329773
,31.43059921,-86.94029999
,34.442141,-85.755793
,31.03219986,-87.25279999
,31.12719917,-87.07330322
,34.00830078,-85.96530151
,33.46390152,-86.77310181
,34.850546,-87.633513
,36.181509,-94.137252
,35.18853,-90.30359
,36.40929,-94.46005
,35.83620071,-90.70179749
,34.48149872,-93.03099823
,33.94884,-93.88024
,36.40010071,-93.74349976
,33.481187,-112.03976
,33.778166,-113.640625
,32.9823,-112.287003
,33.865944,-112.603265
,33.482963,-112.079301
,44.763699,-68.767799
,44.117724,-72.826867
,39.487801,-94.780502
,41.770901,-88.7034
,43.575666,-85.284182
,41.521999,-89.132599
,41.51885,-88.605079
,40.63819885,-74.97570038
,34.049778,-118.456257
,34.58750153,-120.0130005
,34.6222,-120.065002
,33.14310074,-116.7450027
,32.7494444,-116.0161111
,35.592797,-120.338058
,38.745155,-108.047973
,40.2610917,-103.7963389
,38.65250015,-104.2340012
,40.14630127,-104.887001
,37.490501,-104.143997
,39.970843,-105.08741
,40.003917,-105.07185
,38.07109833,-102.6090012
,39.60309982,-105.0910034
,37.11800003,-119.913002
,34.56940079,-117.5559998
,32.633457,-116.890565
,34.157179,-118.254637
,33.67060089,-117.8580017
,34.694584,-118.277106
,34.054901,-118.264967
,35.591104,-117.631323
,33.74110031,-117.151001
,37.452178,-120.764758
,39.228622,-121.688265
,40.181606,-105.124774
,40.03329849,-105.1240005
CSE,38.851918,-106.928341
,40.58990097,-105.0459976
,38.2193985,-108.2129974
,40.58549881,-105.0400009
,40.20830154,-105.0130005
,37.65829849,-106.0339966
,41.881232,-73.480699
,41.48479843,-72.7562027
,41.71699905,-72.22589874
,41.66159821,-72.78790283
,41.50619888,-72.93979645
,41.7745018,-72.6989975
,41.59680176,-72.70449829
,41.188408,-73.1667
,41.405297,-73.445165
,41.75450134,-72.67870331
,40.7906,-83.829102
,44.958035,-84.958859
,40.754734,-93.242447
,25.81734,-80.340416
,27.3039,-81.880403
,30.119424,-83.592746
,27.075744,-81.071125
,28.5727778,-81.6286111
,26.39841,-81.414667
,29.26757,-81.223331
,30.213844,-85.871916
,25.960055,-80.240248
,30.49640083,-86.09380341
,30.82019997,-86.3443985
,27.90749931,-80.48639679
,30.65209961,-86.10939789
,26.707834,-81.175549
,27.93805,-82.460367
,28.78779984,-81.16419983
,29.60280037,-82.98169708
,30.70499992,-85.37830353
,28.45859909,-81.34970093
,27.806199,-82.141365
,28.61030006,-81.41940308
,30.19389915,-81.68190002
,26.393051,-81.02874
,43.103199,-78.7033
,47.8263,-90.3835
,33.35620117,-84.36710358
,34.47790146,-82.89710236
,34.37789917,-82.9457016
,33.77009964,-85.06079865
,33.812901,-83.505699
,34.45479965,-84.28910065
,33.73339844,-83.81880188
,30.88031,-83.414443
,32.71390152,-84.02749634
,33.78210068,-84.80079651
,31.66550064,-83.44709778
,34.904701,-85.459702
,33.33140182,-84.26670074
,34.5617981,-83.71350098
,33.52030182,-82.37249756
,32.69390106,-81.79859924
,40.4216,-91.706299
,39.4767,-87.099701
,41.284675,-85.703814
,41.31689835,-93.09600067
,42.05830002,-94.86830139
,41.71549988,-94.93859863
,41.027897,-91.063442
,40.87220001,-93.26270294
,41.03889847,-94.46690369
,42.22800064,-91.75099945
